Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12903833_2	SRR12903833_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1373941.0	0.0	35-251	51.0	77.28714099650728	218.5193636407968	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR12903893_1	SRR12903893_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	689768.0	0.0	35-251	51.0	82.05950184255607	239.64215069414644	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR12903893_2	SRR12903893_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	689768.0	0.0	35-251	51.0	85.0645798510362	239.73675496688742	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR12916664_1	SRR12916664_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000039.0	0.0	35-251	50.0	73.6603150383544	240.78733629388455	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR12916664_2	SRR12916664_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000039.0	0.0	35-251	51.0	76.87585087530988	241.05912169425392	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13000307_1	SRR13000307_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1209402.0	0.0	35-251	50.0	72.71712254405503	236.4012412746134	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13000307_2	SRR13000307_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1209402.0	0.0	35-251	50.0	74.9525092049232	236.48037129093552	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13000311_1	SRR13000311_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1015056.0	0.0	35-251	50.0	73.81820523696042	237.9205019230466	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13000311_2	SRR13000311_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1015056.0	0.0	35-251	50.0	76.08267803016861	237.98988134644787	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13000507_1	SRR13000507_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	913362.0	0.0	35-251	50.0	75.12273931413912	239.03884002180953	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13000507_2	SRR13000507_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	913362.0	0.0	35-251	50.0	76.62240453146039	239.24977610191797	pass	warn		pass	fail	fail	pass	warn	pass	pass	pass
SRR13001310_1	SRR13001310_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1133460.0	0.0	35-251	50.0	71.26684399705256	235.73647062975314	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13001310_2	SRR13001310_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1133460.0	0.0	35-251	50.0	72.87515066785765	235.98154588604802	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13001406_1	SRR13001406_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	407262.0	0.0	35-251	50.0	87.34297487928895	234.69537545855002	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass
SRR13001406_2	SRR13001406_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	407262.0	0.0	35-251	50.0	87.67192079045762	235.1913952197848	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13068788_1	SRR13068788_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	759919.0	0.0	35-251	51.0	83.50030224986945	243.28029303123097	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13068788_2	SRR13068788_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	759919.0	0.0	35-251	51.0	85.7472668210794	243.31563100804163	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13080118_1	SRR13080118_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1072251.0	0.0	35-251	51.0	76.22476950130869	239.243751696198	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13080118_2	SRR13080118_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1072251.0	0.0	35-251	52.0	77.24683206471144	239.3754242243654	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
SRR13081910_1	SRR13081910_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	641514.0	0.0	35-251	51.0	84.475164561244	243.4623640325854	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13081910_2	SRR13081910_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	641514.0	0.0	35-251	51.0	87.52388722831792	243.39025181056064	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13085650_1	SRR13085650_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	669106.0	0.0	100-251	51.0	83.4544822963691	238.70669370772345	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR13085650_2	SRR13085650_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	669106.0	0.0	100-251	51.0	83.66459114385081	216.48819768467177	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR1314258_1	SRR1314258_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2707213.0	0.0	20-101	49.0	68.61003232531262	93.71448349280237	pass	pass		pass	warn	warn	pass	warn	warn	pass	pass
SRR1314258_2	SRR1314258_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2707213.0	0.0	20-101	48.0	70.49592965310599	88.82773169307329	pass	warn		pass	warn	warn	warn	warn	pass	pass	pass
SRR1314503_1	SRR1314503_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2106458.0	0.0	20-101	49.0	81.00537828460179	87.8401306838304	pass	pass		pass	warn	warn	pass	warn	pass	warn	pass
